id,type,readonly,group,name
0,8,1,imu_sensors,BMP388
1,8,1,imu_sensors,HMC5883L
2,8,1,imu_sensors,MS5611
3,8,1,imu_tests,MPU6500
4,8,1,imu_tests,HMC5883L
5,8,1,imu_tests,MS5611
6,8,1,imu_sensors,BMP388
7,9,1,cpu,flash
8,10,1,cpu,id0
9,10,1,cpu,id1
10,10,1,cpu,id2
11,0,1,system,selftestPassed
12,0,0,system,forceArm
13,8,0,sound,effect
14,10,1,sound,neffect
15,9,0,sound,freq
16,8,0,sound,ratio
17,8,0,system,taskDump
18,8,0,memTst,resetW
19,8,0,commander,enHighLevel
20,8,0,flightmode,althold
21,8,0,flightmode,poshold
22,8,0,flightmode,posSet
23,8,0,flightmode,yawMode
24,8,0,flightmode,yawRst
25,8,0,flightmode,stabModeRoll
26,8,0,flightmode,stabModePitch
27,8,0,flightmode,stabModeYaw
28,6,0,cmdrCPPM,rateRoll
29,6,0,cmdrCPPM,ratePitch
30,6,0,cmdrCPPM,rateYaw
31,6,0,cmdrCPPM,angRoll
32,6,0,cmdrCPPM,angPitch
33,8,0,locSrv,enRangeStreamFP32
34,8,0,locSrv,enLhAngleStream
35,6,0,locSrv,extPosStdDev
36,6,0,locSrv,extQuatStdDev
37,6,0,pid_attitude,roll_kp
38,6,0,pid_attitude,roll_ki
39,6,0,pid_attitude,roll_kd
40,6,0,pid_attitude,pitch_kp
41,6,0,pid_attitude,pitch_ki
42,6,0,pid_attitude,pitch_kd
43,6,0,pid_attitude,yaw_kp
44,6,0,pid_attitude,yaw_ki
45,6,0,pid_attitude,yaw_kd
46,6,0,pid_rate,roll_kp
47,6,0,pid_rate,roll_ki
48,6,0,pid_rate,roll_kd
49,6,0,pid_rate,pitch_kp
50,6,0,pid_rate,pitch_ki
51,6,0,pid_rate,pitch_kd
52,6,0,pid_rate,yaw_kp
53,6,0,pid_rate,yaw_ki
54,6,0,pid_rate,yaw_kd
55,6,0,sensfusion6,kp
56,6,0,sensfusion6,ki
57,6,0,sensfusion6,baseZacc
58,8,0,health,startPropTest
59,8,0,stabilizer,estimator
60,8,0,stabilizer,controller
61,8,0,stabilizer,stop
62,6,0,posEstAlt,estAlphaAsl
63,6,0,posEstAlt,estAlphaZr
64,6,0,posEstAlt,velFactor
65,6,0,posEstAlt,velZAlpha
66,6,0,posEstAlt,vAccDeadband
67,6,0,velCtlPid,vxKp
68,6,0,velCtlPid,vxKi
69,6,0,velCtlPid,vxKd
70,6,0,velCtlPid,vyKp
71,6,0,velCtlPid,vyKi
72,6,0,velCtlPid,vyKd
73,6,0,velCtlPid,vzKp
74,6,0,velCtlPid,vzKi
75,6,0,velCtlPid,vzKd
76,6,0,posCtlPid,xKp
77,6,0,posCtlPid,xKi
78,6,0,posCtlPid,xKd
79,6,0,posCtlPid,yKp
80,6,0,posCtlPid,yKi
81,6,0,posCtlPid,yKd
82,6,0,posCtlPid,zKp
83,6,0,posCtlPid,zKi
84,6,0,posCtlPid,zKd
85,9,0,posCtlPid,thrustBase
86,9,0,posCtlPid,thrustMin
87,6,0,posCtlPid,rpLimit
88,6,0,posCtlPid,xyVelMax
89,6,0,posCtlPid,zVelMax
90,6,0,posCtrlIndi,K_xi_x
91,6,0,posCtrlIndi,K_xi_y
92,6,0,posCtrlIndi,K_xi_z
93,6,0,posCtrlIndi,K_dxi_x
94,6,0,posCtrlIndi,K_dxi_y
95,6,0,posCtrlIndi,K_dxi_z
96,8,0,controller,tiltComp
97,6,0,ctrlMel,kp_xy
98,6,0,ctrlMel,kd_xy
99,6,0,ctrlMel,ki_xy
100,6,0,ctrlMel,i_range_xy
101,6,0,ctrlMel,kp_z
102,6,0,ctrlMel,kd_z
103,6,0,ctrlMel,ki_z
104,6,0,ctrlMel,i_range_z
105,6,0,ctrlMel,mass
106,6,0,ctrlMel,massThrust
107,6,0,ctrlMel,kR_xy
108,6,0,ctrlMel,kR_z
109,6,0,ctrlMel,kw_xy
110,6,0,ctrlMel,kw_z
111,6,0,ctrlMel,ki_m_xy
112,6,0,ctrlMel,ki_m_z
113,6,0,ctrlMel,kd_omega_rp
114,6,0,ctrlMel,i_range_m_xy
115,6,0,ctrlMel,i_range_m_z
116,6,0,ctrlINDI,thrust_threshold
117,6,0,ctrlINDI,bound_ctrl_input
118,6,0,ctrlINDI,roll_kp
119,6,0,ctrlINDI,pitch_kp
120,6,0,ctrlINDI,yaw_kp
121,6,0,ctrlINDI,g1_p
122,6,0,ctrlINDI,g1_q
123,6,0,ctrlINDI,g1_r
124,6,0,ctrlINDI,g2
125,6,0,ctrlINDI,ref_err_p
126,6,0,ctrlINDI,ref_err_q
127,6,0,ctrlINDI,ref_err_r
128,6,0,ctrlINDI,ref_rate_p
129,6,0,ctrlINDI,ref_rate_q
130,6,0,ctrlINDI,ref_rate_r
131,6,0,ctrlINDI,act_dyn_p
132,6,0,ctrlINDI,act_dyn_q
133,6,0,ctrlINDI,act_dyn_r
134,6,0,ctrlINDI,filt_cutoff
135,6,0,ctrlINDI,filt_cutoff_r
136,8,0,ctrlINDI,outerLoopActive
137,6,0,ctrlNN,max_thrust
138,8,0,ctrlNN,rel_vel
139,8,0,ctrlNN,rel_omega
140,8,0,ctrlNN,rel_xyz
141,8,0,ctrlNN,use_neighbor_obs
142,8,0,ctrlNN,num_neighbors
143,9,0,ctrlNN,freq
144,8,0,multiAgent,neighbors
145,8,0,motorPowerSet,enable
146,9,0,motorPowerSet,m1
147,9,0,motorPowerSet,m2
148,9,0,motorPowerSet,m3
149,9,0,motorPowerSet,m4
150,10,0,powerDist,idleThrust
151,8,0,kalman,resetEstimation
152,8,0,kalman,quadIsFlying
153,6,0,kalman,pNAcc_xy
154,6,0,kalman,pNAcc_z
155,6,0,kalman,pNVel
156,6,0,kalman,pNPos
157,6,0,kalman,pNAtt
158,6,0,kalman,mNBaro
159,6,0,kalman,mNGyro_rollpitch
160,6,0,kalman,mNGyro_yaw
161,6,0,kalman,initialX
162,6,0,kalman,initialY
163,6,0,kalman,initialZ
164,6,0,kalman,initialYaw
165,6,0,kalman,maxPos
166,6,0,kalman,maxVel
167,8,0,colAv,enable
168,6,0,colAv,ellipsoidX
169,6,0,colAv,ellipsoidY
170,6,0,colAv,ellipsoidZ
171,6,0,colAv,bboxMinX
172,6,0,colAv,bboxMinY
173,6,0,colAv,bboxMinZ
174,6,0,colAv,bboxMaxX
175,6,0,colAv,bboxMaxY
176,6,0,colAv,bboxMaxZ
177,6,0,colAv,horizon
178,6,0,colAv,maxSpeed
179,6,0,colAv,sidestepThrsh
180,2,0,colAv,maxPeerLocAge
181,6,0,colAv,vorTol
182,2,0,colAv,vorIters
183,6,0,hlCommander,vtoff
184,6,0,hlCommander,vland
185,8,0,ring,effect
186,10,1,ring,neffect
187,8,0,ring,solidRed
188,8,0,ring,solidGreen
189,8,0,ring,solidBlue
190,8,0,ring,headlightEnable
191,6,0,ring,glowstep
192,6,0,ring,emptyCharge
193,6,0,ring,fullCharge
194,10,0,ring,fadeColor
195,6,0,ring,fadeTime
196,8,0,system,highlight
197,8,1,deck,bcLedRing
198,8,1,deck,bcBuzzer
199,8,1,deck,bcGTGPS
200,8,1,deck,bcCPPM
201,8,1,deck,bcUSD
202,8,0,usd,logging
203,8,1,deck,bcZRanger
204,8,1,deck,bcZRanger2
205,8,1,deck,bcDWM1000
206,8,0,loco,mode
207,8,0,tdoaEngine,logId
208,8,0,tdoaEngine,logOthrId
209,8,0,tdoaEngine,matchAlgo
210,8,0,motion,disable
211,8,0,motion,adaptive
212,6,0,motion,flowStdFixed
213,8,1,deck,bcFlow
214,8,1,deck,bcFlow2
215,8,1,deck,bcOA
216,8,1,deck,bcMultiranger
217,8,1,deck,bdLighthouse4
218,8,0,activeMarker,front
219,8,0,activeMarker,back
220,8,0,activeMarker,left
221,8,0,activeMarker,right
222,8,0,activeMarker,mode
223,8,0,activeMarker,poll
224,8,1,deck,bcAIDeck
225,10,1,firmware,revision0
226,9,1,firmware,revision1
227,8,1,firmware,modified
228,8,0,lighthouse,method
229,6,0,lighthouse,sweepStd
230,6,0,lighthouse,sweepStd2
