id,type,readonly,group,name
0,8,0,activeMarker,front
1,8,0,activeMarker,back
2,8,0,activeMarker,left
3,8,0,activeMarker,right
4,8,0,activeMarker,mode
5,8,0,activeMarker,poll
6,8,1,deck,bcActiveMarker
7,8,1,deck,bcAI
8,8,1,deck,bcBuzzer
9,8,1,deck,bcFlow
10,8,1,deck,bcFlow2
11,8,1,deck,bcLedRing
12,8,1,deck,bcLighthouse4
13,8,1,deck,bcDWM1000
14,8,1,deck,bcMultiranger
15,8,1,deck,bcOA
16,8,1,deck,bcUSD
17,8,1,deck,bcZRanger
18,8,1,deck,bcZRanger2
19,8,0,motion,disable
20,8,0,motion,adaptive
21,6,0,motion,flowStdFixed
22,8,0,ring,effect
23,10,1,ring,neffect
24,8,0,ring,solidRed
25,8,0,ring,solidGreen
26,8,0,ring,solidBlue
27,8,0,ring,headlightEnable
28,6,0,ring,emptyCharge
29,6,0,ring,fullCharge
30,10,0,ring,fadeColor
31,6,0,ring,fadeTime
32,8,0,system,highlight
33,8,0,system,storageStats
34,8,0,system,taskDump
35,0,1,system,selftestPassed
36,0,0,system,forceArm
37,8,0,system,assertInfo
38,8,0,loco,mode
39,6,0,tdoa2,stddev
40,6,0,tdoa3,stddev
41,9,0,multiranger,filterMask
42,8,1,usd,canLog
43,8,0,usd,logging
44,8,0,led,bitmask
45,8,0,motorPowerSet,enable
46,9,0,motorPowerSet,m1
47,9,0,motorPowerSet,m2
48,9,0,motorPowerSet,m3
49,9,0,motorPowerSet,m4
50,6,0,pm,lowVoltage
51,6,0,pm,criticalLowVoltage
52,8,1,imu_sensors,BMP388
53,6,0,imu_sensors,imuPhi
54,6,0,imu_sensors,imuTheta
55,6,0,imu_sensors,imuPsi
56,8,1,imu_sensors,AK8963
57,8,1,imu_sensors,LPS25H
58,8,1,imu_tests,MPU6500
59,8,1,imu_tests,AK8963
60,8,1,imu_tests,LPS25H
61,6,0,imu_tests,imuPhi
62,6,0,imu_tests,imuTheta
63,6,0,imu_tests,imuPsi
64,8,0,syslink,probe
65,6,0,pid_attitude,roll_kp
66,6,0,pid_attitude,roll_ki
67,6,0,pid_attitude,roll_kd
68,6,0,pid_attitude,roll_kff
69,6,0,pid_attitude,pitch_kp
70,6,0,pid_attitude,pitch_ki
71,6,0,pid_attitude,pitch_kd
72,6,0,pid_attitude,pitch_kff
73,6,0,pid_attitude,yaw_kp
74,6,0,pid_attitude,yaw_ki
75,6,0,pid_attitude,yaw_kd
76,6,0,pid_attitude,yaw_kff
77,6,0,pid_attitude,yawMaxDelta
78,0,0,pid_attitude,attFiltEn
79,6,0,pid_attitude,attFiltCut
80,6,0,pid_rate,roll_kp
81,6,0,pid_rate,roll_ki
82,6,0,pid_rate,roll_kd
83,6,0,pid_rate,roll_kff
84,6,0,pid_rate,pitch_kp
85,6,0,pid_rate,pitch_ki
86,6,0,pid_rate,pitch_kd
87,6,0,pid_rate,pitch_kff
